entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B
18655	0.445123272750449	4.12785569098672	2.68738344318902	0.0277359870126344	0.0466880874669004	-4.83607198928111
319594	-0.319214620854258	6.39325385190695	-2.68704002962854	0.0277507110813024	0.0467073220611512	-4.95664123465796
22437	0.763302133071527	1.68347634088179	2.68591884640817	0.027798838371659	0.0467806774304472	-4.34122566842534
18567	-0.42516956040354	3.34820578477208	-2.68587087246982	0.0278008995841514	0.0467806774304472	-4.7164917081384
320404	0.749174234111928	5.67853247458849	2.68486734429259	0.0278440523976943	0.0468477256459604	-4.93444715350704
18671	2.16185621397981	-0.0919813371179783	2.68400899321214	0.0278810169678871	0.0469043474287555	-4.00212652237113
239839	-0.62772098177516	1.87548585217397	-2.68389059004111	0.0278861199067012	0.0469073611778201	-4.46065898296868
70767	0.36164615132417	5.02002694599779	2.6838114599689	0.0278895307880451	0.0469075283320659	-4.91161416240677
229937	0.463713925621669	3.96092503423708	2.68337755651795	0.0279082416945987	0.04693342557331	-4.81668506558793
70681	-0.561819482297488	2.35500040992109	-2.68238750923454	0.027950983025739	0.046999723950569	-4.54123973687456
66448	0.486125817863611	4.50620320106889	2.68105810761339	0.0280084802724872	0.0470908157934459	-4.88349528645197
66082	0.462230282791437	2.60900740613114	2.68009398610009	0.0280502548761916	0.047155454583581	-4.61633673862306
22629	0.310391378419624	4.85247930140453	2.6793280659194	0.0280834871285831	0.0472021634124345	-4.89499617971985
103850	-0.464196745364647	2.96641687111916	-2.67930003597222	0.0280847040762441	0.0472021634124345	-4.67435607113741
55935	0.592836183093005	6.81907252719987	2.6789855516014	0.028098361432243	0.04721647745789	-4.96051992847723
14804	-1.42632862603194	-1.84197782099524	-2.67895042336131	0.0280998873964005	0.04721647745789	-3.66570459195473
17122	0.459337134842265	5.0635223436467	2.67886040444698	0.0281037981891678	0.0472174476751942	-4.92865414886005
212508	-0.490618786601797	3.17562448592592	-2.67743781272554	0.0281656756138407	0.0473157963792758	-4.7153328096177
403174	-0.922558849515659	0.477428190348545	-2.67441903637676	0.0282974443683884	0.0475315189704994	-4.16974967633866
16391	0.358372440467369	6.26080899772707	2.67408044502087	0.0283122631641713	0.0475507716054644	-4.96948334856901
67299	0.296232974163382	7.6615020927364	2.67348733817718	0.0283382402704502	0.0475887579645439	-4.94152380316349
71302	-0.813148206552393	3.66811538018138	-2.67338009590218	0.028342939914475	0.0475910080474796	-4.72599033774483
20184	0.428593762198374	4.79519916786474	2.67299162772667	0.0283599703229755	0.0476048109515458	-4.92208662678149
73729	0.576356471537125	1.52260256941291	2.67297723585874	0.028360601462644	0.0476048109515458	-4.38879869959708
60533	-0.87741326516683	1.40079258333497	-2.67296261926184	0.0283612424722976	0.0476048109515458	-4.38489117621137
73942	-0.570709658534599	1.46917411678782	-2.67276834220312	0.0283697638877771	0.0476134722121283	-4.37344567971608
54152	-0.48260802055243	4.35539108508063	-2.67225315366339	0.0283923738940861	0.047645773748339	-4.89790652037124
545156	0.678041170018607	4.05039157229986	2.6708481246692	0.0284541301484347	0.0477437519015136	-4.8503014761755
72106	-0.349631905845535	4.47373593984887	-2.67058259180875	0.0284658167700064	0.0477577039615233	-4.91160253185271
269604	-0.764046150768307	1.31469414923381	-2.67038339896988	0.0284745868674459	0.0477667601820667	-4.35688062938608
