entrez	logFC	AveExpr	t	P.Value	adj.P.Val	B
69440	-0.155844890664004	3.74214393767051	-0.757558181524168	0.470547442009635	0.538441169460822	-7.31459962323303
108159	-0.11087930583402	4.75374989367605	-0.757550858501895	0.470551587487152	0.538441169460822	-7.43594315672791
225358	-0.135928329278622	6.89370497384062	-0.757446981238004	0.470610393795436	0.538464961883066	-7.50762076064761
114741	0.137174326179263	6.49270763477637	0.756721143010668	0.471021436089639	0.538891740748706	-7.51761465275005
93722	0.227406841165825	1.18118298412417	0.756447741528136	0.47117632487838	0.539025411234232	-6.83228232271383
319448	0.15463611460239	7.4430816186877	0.756308638485692	0.471255143149819	0.539072042535508	-7.49294155882818
76308	0.091721381727428	6.89055498729782	0.756181779276726	0.471327031438766	0.53911073969074	-7.51229556094371
70153	-0.156926813480176	4.52275425383259	-0.755873469089272	0.47150177414668	0.53926706748387	-7.41836402402179
15926	0.102550140108114	5.12059267560229	0.755071143558124	0.47195671320494	0.539743810959791	-7.484748046619
66890	0.0913140223120337	7.6073769636194	0.754228080148085	0.472435063698916	0.540247249317442	-7.49229705753455
67463	0.131589160950836	3.54042424603439	0.753503945165558	0.472846189918443	0.540673739118077	-7.27529598680639
56291	-0.191497346913455	2.25863154903754	-0.753032556463898	0.473113946627077	0.54093623811224	-7.10509406993701
319262	0.125559534856388	3.49020388300303	0.752252433241804	0.473557289176332	0.541383245765666	-7.27288770338049
67224	0.122683727976625	3.00440747554283	0.752210111660895	0.47358134827267	0.541383245765666	-7.21569961570686
224697	0.148185146096147	4.85512899087889	0.750131384549188	0.474764059640774	0.542691486831146	-7.4847816458942
78689	-0.086761283210758	5.40617095742561	-0.74949463102064	0.475126734863031	0.543062228623806	-7.50506052202847
53328	-0.0844929390658757	7.57088908759537	-0.748773093077658	0.475537920680251	0.543488352947859	-7.49567214160529
79555	-0.110351617240607	8.51990313295877	-0.74831145431463	0.475801119256667	0.543745288767301	-7.44098169857365
54383	-0.142941332642268	6.86704137143267	-0.74641237065284	0.476884867971174	0.544939831785388	-7.52073602282742
16469	-0.196689106409056	1.76565933972892	-0.744793833802079	0.477809793856954	0.545927290894141	-6.94893722061762
100042332	-0.182581870337314	0.631157928808079	-0.744765336955157	0.477826089128526	0.545927290894141	-6.67899490634729
22163	0.285386755332362	0.442871550411626	0.744507834841503	0.47797335233755	0.546051498980675	-6.61699149148899
67442	-0.116909587718595	4.93970456557907	-0.743970743553862	0.478280605769672	0.546358450058661	-7.4801494215347
52004	-0.125984271302714	4.55043615081125	-0.74355112528867	0.478520746424219	0.546588692290869	-7.43463354016817
58810	-0.0842612290324158	8.51504858127888	-0.743473689071387	0.47856507052315	0.54659524463477	-7.45570102814432
381347	-0.290294138548955	4.60276868370685	-0.743155011381802	0.478747508291246	0.546759530351165	-7.39634898347708
66419	0.141737959164587	4.19540185910939	0.742897544783	0.478894936929484	0.546883810190757	-7.39525347245564
18145	0.103421481620235	6.31249105481412	0.742675154344633	0.479022304409217	0.546985162592226	-7.52959765346605
66497	-0.126252648947659	3.47207084511086	-0.741042757893027	0.479957888491737	0.548009309244354	-7.29911166387238
12865	0.27337457251164	2.70748872681532	0.740417325648877	0.480316661818639	0.548374749307731	-7.17358684811874
231868	-0.0991114577177115	4.99710997382953	-0.740176683647815	0.480454750464561	0.548488196351589	-7.48868860589853
98985	-0.229574073137819	4.08038958462706	-0.740054159614422	0.480525068916503	0.548524264743514	-7.3925764971412
67044	-0.0888639469341204	5.27340150288711	-0.739966718934464	0.480575256591662	0.548537349687421	-7.49910320882832
230936	0.122937927322547	5.88563799156727	0.739206798628174	0.481011566391537	0.548991123836607	-7.52759646663167
20849	-0.326388875615595	-0.796420537102558	-0.738784273544236	0.481254271747777	0.549223876837517	-6.34236595444688
216860	0.122402427408725	5.52888929451729	0.738466781733383	0.481436696789254	0.549387803916844	-7.52090737746778
11515	0.11011496067764	4.38260416894586	0.737292166319053	0.482112001238291	0.550114104844562	-7.44097019824894
68839	0.161987657075923	4.5428549359205	0.73679883710381	0.482395807640024	0.550393605736685	-7.43844388141541
20255	-0.583943960442627	-0.359978997247236	-0.736434983210583	0.482605198105572	0.550588162948246	-6.58735049158465
11536	-0.211369777635354	-0.289159958359176	-0.736124542439028	0.482783897165199	0.550721484858749	-6.60836597915479
81910	0.117697356231874	8.70629800828141	0.73609689078727	0.482799816376699	0.550721484858749	-7.4408959486087
78323	-0.120212595865321	3.04826466320115	-0.734772435693058	0.483562712460068	0.551547292213291	-7.21276861448215
234023	-0.182621676883362	5.77335586971875	-0.734122688755582	0.483937257894062	0.551930052984652	-7.53443274484984
15387	0.0984573478344268	7.48205879434941	0.733524374622991	0.484282321599973	0.55227913094466	-7.50720611102811
23792	0.491066285096571	0.581682880409048	0.732970143853099	0.484602103750003	0.552599323749701	-6.78163525612941
100040220	-0.143413579424379	6.33804153469874	-0.732876958276459	0.484655883769491	0.552616163051987	-7.54065866261767
56440	0.117279463757443	5.74294013226092	0.732696539186788	0.484760019713535	0.552690412044609	-7.53061114629725
74841	-0.121376628817111	6.36578938027214	-0.73254067779961	0.484849992905664	0.55274850297857	-7.53767943454323
